,projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
10836,164f282fba511bd01e4cd7da5045412e,82d7924316696162af68dc03fb76b5ab,751bffdcad44ab1be8d41447becb7abf,400762000000.0,35.448824,-97.24753,Choctaw,OK,suburban,Choctaw-nicoma Park Sch Dist,Oklahoma,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Supplies,moderate poverty,Grades PreK-2,578.91,25.0,f,6/12/12,10/6/12
112171,e55db8563ffe1cb11f08c551660bb677,21495cc205c66c78234eb7308a168cc3,251296e04397548a43e81463b7419373,120150000000.0,26.60675,-80.054825,Lake Worth,FL,suburban,Palm Beach Co School District,Palm Beach,f,f,Ms.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,376.55,300.0,t,5/7/13,6/4/13
86132,b037cbff76af4906d896c1d74a2b087b,8add871f78a04b70379cfa3463da8999,e1743d5a0d8f351cc49dacb6631bb291,261644000000.0,42.92514,-85.672119,Grand Rapids,MI,urban,Grand Rapids Pub Sch Dist,Kent,f,f,Ms.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades 3-5,511.74,110.0,f,12/11/13,1/30/14
114981,eb6f8f4fea0b5b0ead3eae57ca11f862,06ba566847158112aeab399656a08f98,8eb1c626bd47f7ca1630a7ac74560fad,403024000000.0,36.12744,-95.84443,Tulsa,OK,urban,Tulsa Independent Sch Dist,Tulsa,f,f,Mrs.,Literacy,Literacy & Language,Early Development,Applied Learning,Books,highest poverty,Grades PreK-2,1164.46,23.0,f,6/9/13,9/10/13
109049,df13961acbfbaa891fc4f5374a86ab79,f23c8db9fde3695c914482e225727a2c,3b3e54a2e26f6b53aab77b6f574be701,261200000000.0,42.436298,-83.091637,Detroit,MI,suburban,Educational Achievement System,Wayne,f,f,Mrs.,Mathematics,Math & Science,,,Other,highest poverty,Grades PreK-2,259.58,50.0,f,1/25/13,3/15/13
66885,88ef0fcfcc5bd6c5074c3d9b6dd68634,3e280391b4e43873cc0ed400d895bb52,5325e1153938d0e32b0d32f2a39473a6,490014000000.0,40.510063,-111.87558100000001,Draper,UT,suburban,Canyons School District,Salt Lake,f,f,Ms.,Mathematics,Math & Science,,,Supplies,moderate poverty,Grades PreK-2,235.36,22.0,f,1/3/13,2/24/13
119135,f3dbadc38a3abe12119cde9c87434446,f2dccdeebe2b57797aa16c41ac669473,2120f54dedb596adb357047e04fc0af5,,30.319069,-97.707268,Austin,TX,urban,Texas Dept of Education,Travis,t,f,Ms.,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,940.39,120.0,f,11/12/13,12/3/13
102870,d27011f9d8b0b6bd688313b1b1ad5741,e0e67a40be155e1935c70c1be48ace4d,500164f14bf1ab18d6fdf01d054341c1,,36.125069,-115.116051,Las Vegas,NV,urban,Nevada Dept of Education,Clark,t,f,Mrs.,Other,Applied Learning,,,Books,high poverty,Grades PreK-2,340.54,64.0,f,3/13/12,6/5/12
41850,5609372b6e20622ed69f12fc5f1685ca,fa1a58be8fc0388be55af6c3082311d9,1a920e532bc855339136de3b49262c29,292928000000.0,38.662964,-90.221303,Saint Louis,MO,urban,St Louis City Public Sch Dist,St Louis City,f,f,Ms.,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 9-12,244.33,125.0,f,9/22/12,10/18/12
110532,e1eb5e09dd6c52011b3feb7ed39a36d6,212c019a0ec6d6a1ddf6c16ac5f1a261,552ee43b65f1e6611581538ac9b77550,120144000000.0,28.480484000000004,-81.407028,Orlando,FL,suburban,Orange Co Public School Dist,Orange,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,527.05,18.0,t,11/26/13,12/14/13
122810,fba77c8ac3e26251d22a165562a1dad3,10fe3256a5d29b82bcd9107a830c6e5e,9ddccdd0f0b1941898a14c4c817045bc,62271007521.0,34.190262,-118.64801000000001,West Hills,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,Technology,moderate poverty,Grades PreK-2,679.92,25.0,t,1/20/12,2/15/12
87783,b3a108aaec214083757ede04f7311418,9d50d4fd5e1747b8100d7f454e4a7e65,fc701d8a63d45c7ed209f0c02a1ed5a8,120156000000.0,27.807533000000003,-82.683482,St Petersburg,FL,urban,Pinellas Co School District,Pinellas,f,f,Mrs.,Literacy,Literacy & Language,Other,Applied Learning,Other,highest poverty,Grades PreK-2,477.12,36.0,t,11/19/13,11/28/13
97609,c7cd687360b081394cfd34069e8d037c,34679cdda5c774c9d5139bbcae4196a5,f613e678e94193bcc09529cc3e7619d7,220005000000.0,30.046912,-89.980521,New Orleans,LA,urban,New Orleans Recovery School District,Orleans,t,f,Ms.,Literacy,Literacy & Language,,,Other,highest poverty,Grades 3-5,573.35,25.0,f,10/12/13,10/17/13
76576,9cd3890f4b8b203abb24f908d3b6b11f,5bdb6665f31ec43361a295db188c8a04,e65239727c08e6b13443a563d7592419,,40.812793,-81.34302199999999,Canton,OH,urban,Ohio Department of Education,Stark,t,f,Ms.,Special Needs,Special Needs,Literacy,Literacy & Language,Supplies,highest poverty,Grades PreK-2,383.25,30.0,f,9/18/12,1/10/13
60544,7c8c4c0fd5915b0fabb5be8fa7dcabf9,570147cd14e2a5768557fa936606b03e,b00f3622c10e028bfbad7710ba697d80,50435000164.0,34.694842,-91.307599,Clarendon,AR,rural,Clarendon School District 6,Monroe,f,f,Mr.,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 9-12,709.24,100.0,f,6/16/12,7/31/12
7820,10478b908147c2f9614b9eb562cc8072,0422206a99ed89cafcd5b7d036c8fdd3,0e201a50f9ac1f98b9da4506d5444fa2,263225000000.0,42.512105,-83.65956700000001,South Lyon,MI,suburban,South Lyon Cmty Sch District,Oakland,f,f,Mrs.,Mathematics,Math & Science,,,Technology,moderate poverty,Grades 3-5,1214.07,570.0,f,3/4/12,4/19/12
98635,ca058f799392115edbd0e3cfd7443eb7,a3b915b5393a1cadb7bfa16fbfe73204,7faf43d02277ba1879087e95d29f53b7,50612000856.0,36.08766,-94.118859,Fayetteville,AR,urban,Fayetteville School District 1,Washington,f,f,Mrs.,Health & Life Science,Math & Science,Applied Sciences,Math & Science,Other,moderate poverty,Grades 6-8,730.81,135.0,f,9/8/12,10/17/12
77485,9e9661acf669a0a1ae3546aa93d6af65,2474bd8b0cc1bbb6ba54824959bee8fd,241a5ac19c971db5b205732bbf45987e,360009000000.0,40.836826,-73.887688,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Mr.,Character Education,Applied Learning,Extracurricular,Applied Learning,Technology,highest poverty,Grades 6-8,1004.68,75.0,f,9/15/13,11/21/13
79053,a1ba855b019278c7cd5660d1a1cf8bf4,614fb05203bb467e09e5efbaa6a7d6fc,9f49495a59ca2cbad0aa9a517cbf9630,120111000000.0,30.472554,-84.18289200000001,Tallahassee,FL,urban,Leon Co School District,Leon,f,f,Mrs.,Music,Music & The Arts,Foreign Languages,Literacy & Language,Other,low poverty,Grades 3-5,799.49,700.0,f,10/15/12,11/14/12
68466,8c31e4b81c5b5eeac8ae46f2a12bb77b,01fe7d37fd6f873c03db53da17eb8afa,dde5746ec1cd3c351d0682d9d09de1cf,63384012139.0,38.507051000000004,-121.52674099999999,Sacramento,CA,urban,Sacramento City Unif Sch Dist,Sacramento,f,f,Mr.,History & Geography,History & Civics,,,Books,highest poverty,Grades 9-12,2163.79,25.0,f,8/23/13,11/18/13
14420,1de9dec731b5602ef2d060319bcfce45,f51d110af7c5dab38b076ee63ca426e5,95243dd36fd065b26cb1cf3b6c57424a,500612000000.0,44.154348,-72.661652,Northfield,VT,,Washington South Su 43,Washington,f,f,Mrs.,Mathematics,Math & Science,,,Supplies,high poverty,Grades PreK-2,236.89,16.0,f,3/13/13,4/5/13
118931,f36f63bd53d80bf0166238e437e4c9d2,033f8723051084df9b51acfac5ec2e4d,60ba95f45051bad1020343f3f8566d24,370297000000.0,35.183228,-80.689468,Charlotte,NC,rural,Charlotte-mecklenburg Sch Dist,Mecklenburg,f,f,Mr.,Environmental Science,Math & Science,Mathematics,Math & Science,Technology,highest poverty,Grades 3-5,628.04,50.0,t,3/30/13,4/8/13
46981,60d4781670af0149716822ffcec158a7,d832029f3361c5130f8a3d6d936d0cc8,0d4a58db8cf6a12935135c6170a72ca4,130012000000.0,33.769086,-84.395928,Atlanta,GA,urban,Atlanta Public Schools,Fulton,f,f,Mr.,Literacy,Literacy & Language,,,Books,high poverty,Grades 3-5,1932.06,24.0,t,11/14/13,12/3/13
18601,26610755f778b3a483241c0ae3223999,a4da68a4651b5221dab5d549f94dd4d0,729d99bfdbd5203ff39644bf5c49f7db,250354000000.0,42.398610999999995,-71.018454,Chelsea,MA,suburban,Chelsea School District,Suffolk,f,f,Mrs.,Economics,History & Civics,Mathematics,Math & Science,Technology,highest poverty,Grades 3-5,907.09,27.0,f,9/10/13,10/7/13
81483,a6a517cbbb409a6803c6624833ea2372,b41c2a486d7a7aac7172dbfb40f43319,0ea59ca9436fd69f899f86355dc4ea86,62271002829.0,34.009605,-118.329439,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,t,t,Ms.,Extracurricular,Applied Learning,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,183.61,800.0,t,1/15/12,4/6/12
7344,0f4b3171db632d4b346d143fe7eff506,0a7103c0e2552fb5f0c2428ab2cdbf2b,d3c461eb8e6bc20c116586eb39ed93d8,62271002919.0,34.03223,-118.353571,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,914.44,26.0,f,2/5/12,6/2/12
55183,71a5a10581ce4e353107b938ec3b96ab,f08c36eac72e715cd0c5f8a4fb262f99,d2195f6da22a2a70d6c2576a8c1a8cdf,120144000000.0,28.495196999999997,-81.333005,Orlando,FL,suburban,Orange Co Public School Dist,Orange,f,f,Mrs.,Special Needs,Special Needs,,,Technology,high poverty,Grades 3-5,527.05,19.0,t,10/3/13,10/30/13
3013,066dfb57f77cb6d259baf0d56ccd90d9,9a542c2889a876bd78049d0866681e52,694db37847547758551dc0a8e21b98c0,422112000000.0,40.803376,-76.87532,Selinsgrove,PA,,Selinsgrove Area School Dist,Snyder,f,f,Mr.,Mathematics,Math & Science,Special Needs,Special Needs,Other,moderate poverty,Grades 3-5,237.11,15.0,t,11/3/12,12/22/12
8158,10f448e62a5ad8b6a85b15cef14f4d92,f7554e3a075837248614589f60cb6e8b,de7f96bfb04a1ca4ba554ed641df46ea,,41.225014,-73.190937,Bridgeport,CT,,Bridgeport City Sch District,Fairfield,f,f,Mrs.,Civics & Government,History & Civics,History & Geography,History & Civics,Other,low poverty,Grades 9-12,1038.35,60.0,f,8/13/12,12/6/12
29838,3db8f3f311ea567b07a5fa8376f4739a,b057e767eba44846cbe946ebbfd19f2e,7fc0438c7bd2d065ce5069c29cef6aa7,60177000042.0,37.776507,-122.285642,Alameda,CA,suburban,Alameda Unified School Dist,Alameda,t,f,Ms.,Music,Music & The Arts,,,Supplies,high poverty,Grades 6-8,555.98,2.0,f,11/18/12,12/21/12
72790,9531ec20c34e99792bddb3c34166faec,cab932fa58898afc57f4cdcee365a65d,c5e5811b23995adb1f15316f66cf2286,63255005041.0,37.971614,-122.352701,San Pablo,CA,suburban,West Contra Costa Usd,Contra Costa,f,f,Ms.,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,569.42,75.0,t,8/23/13,8/29/13
112258,e58f790eb33a6d53544264400441b3c7,73d7ec56f1fe064ba3a81e3b0b59ca8b,25ee60d8d635e2409bcd53951fb1b44d,,36.102427,-80.212785,Winston Salem,NC,urban,North Carolina Dept of Ed,Forsyth,t,f,Mr.,Music,Music & The Arts,,,Technology,high poverty,Grades 3-5,370.87,320.0,f,10/29/12,12/19/12
81127,a5f2b63df2076add80309c0a05827122,c0962e5186ca4207046945462a462b10,d104c38882dc60f58b36f74773bc0a8a,90045000051.0,41.199787,-73.181795,Bridgeport,CT,urban,Bridgeport City Sch District,Fairfield,f,f,Mr.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,736.8,200.0,f,12/24/13,1/19/14
59926,7b484b8ae88f7c225eea0a05a3b0f20a,91d601f988f512a9a70bbe471637bb43,32e49f2c0ec79834994561d13e2a5d26,231478000000.0,44.063815000000005,-70.397366,Poland,ME,rural,Rsu 16,Androscoggin,f,f,Ms.,Character Education,Applied Learning,Parent Involvement,Applied Learning,Books,high poverty,Grades 3-5,308.19,450.0,f,8/17/13,11/6/13
3888,08345303d3f36b9aaba5d42eb171367a,bc93ba824fa9b4b8f0293eb72946a8b2,c2edf0c21a576b218e5277292ce9419e,280336000000.0,30.399093,-88.781661,Ocean Springs,MS,suburban,Ocean Springs School District,Jackson,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,high poverty,Grades PreK-2,518.68,24.0,f,9/28/13,11/21/13
5398,0b4d427628fa6f3406e97a22ece00e55,0203d75d8da8fd6fe9830e7c54824012,583cd4fa941776a57f81073db56918fc,360294000000.0,40.676351000000004,-73.418309,Amityville,NY,suburban,Amityville Union Free Sch Dist,Suffolk,f,f,Mrs.,Special Needs,Special Needs,,,Technology,highest poverty,Grades 3-5,460.22,10.0,f,8/31/13,9/15/13
110780,e26b88b85167307f7b780f125dce4380,8165f44774a9800dc43d7442efe64ba5,975e0e2c1d1e7453227004ddfd0ac80b,290531000000.0,39.020409,-94.28535600000001,Blue Springs,MO,suburban,Blue Springs School Dist R4,Jackson,f,f,Mrs.,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,high poverty,Grades PreK-2,183.78,13.0,f,5/4/12,6/9/12
46829,60803be577a45f7ea5a1f6610e4f08cd,cca2170abeeb90fac61a282d5cb8e2c7,15c2f26c616d8480b48b269514253b26,120087000000.0,27.850182,-82.47819,Tampa,FL,urban,Hillsborough Co Pub Sch Dist,Hillsborough,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,moderate poverty,Grades 3-5,831.46,670.0,f,3/15/12,4/3/12
48870,648bbdcbb208054ef61a26a00f2193f5,e2942f615d7ca9335075960a7332aca2,5b319f02c4c35385696a74fdf2b63f92,120003000000.0,29.659369,-82.297206,Gainesville,FL,urban,Alachua Co School District,Alachua,f,f,Ms.,Social Sciences,History & Civics,Literature & Writing,Literacy & Language,Books,highest poverty,Grades PreK-2,989.96,50.0,t,4/14/13,5/8/13
65057,855bca9ad7c2644455f8d0451429f325,db7cc71d36f1ff8ff703467d26613f9d,81b33b26ddbd7035c58b3033c561b9f4,450282000000.0,34.043074,-81.126762,Columbia,SC,urban,Lexington-richland Co SD 5,Lexington,f,f,Mrs.,Literacy,Literacy & Language,Civics & Government,History & Civics,Other,high poverty,Grades PreK-2,173.33,15.0,f,3/12/12,5/4/12
120061,f5e811e24c80d9852700202a667dec15,9c7f37c1b1afd2cff04930b4ca180428,dedac066462e0b6c1e8e0286c1baf03f,530723000000.0,47.454902000000004,-122.16958999999999,Renton,WA,,Renton School District 403,King,f,f,Ms.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Supplies,high poverty,Grades 9-12,580.98,122.0,t,10/1/12,11/25/12
22169,2dc0fca0b468cfc7e988e9c7aed96673,a6e4f0a334f1fdbb0dd7c7797ba9a3c9,8b82a2cfabfb4734b643b1ed3e6a2326,61288001459.0,33.134322999999995,-117.087236,Escondido,CA,suburban,Escondido Union Elem Sch Dist,San Diego,f,f,Mrs.,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades PreK-2,307.19,25.0,t,6/25/12,8/14/12
62270,7ff924290ab661e9aa0ecbc3bd6192ea,574916404aa7082ad1f0bc2e0124196b,7fb61234487927bf8b33fbb7d2ef885c,481575000000.0,29.880159999999997,-95.04859599999999,Crosby,TX,rural,Crosby Ind School District,Harris,f,f,Mrs.,Music,Music & The Arts,Literacy,Literacy & Language,Other,high poverty,Grades PreK-2,725.22,650.0,f,10/26/12,12/4/12
20984,2b3015347fdb4313e64b095b8c84c4ee,66009c118b880b7a71ebd63eb475f010,baa687a6f65820b1898ae5210743664e,63442500523.0,34.109123,-118.111749,San Gabriel,CA,suburban,San Gabriel Unified Sch Dist,Los Angeles,f,f,Ms.,Literature & Writing,Literacy & Language,Special Needs,Special Needs,Books,moderate poverty,Grades 3-5,766.07,11.0,t,11/20/13,3/12/14
54825,70e5aa03488aa8f96a5df63028b7c544,e2ea02d6dfb4d59d60f3c441a0dffa85,c9331118405abeb09e3c7cf7889efc4a,400363000000.0,36.747312,-95.91709,Bartlesville,OK,,Bartlesville Ind Sch Dist 30,Washington,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Books,high poverty,Grades 3-5,204.41,58.0,f,6/27/13,7/19/13
20520,2a478c1f1e8687332bee2ee4d505c430,927d1a558d132fb2d5982d58551f8926,ec10b1b310277813c445b44e8fba4aba,470222000000.0,36.000687,-83.912743,Knoxville,TN,urban,Knox Co School District,Knox,f,f,Mrs.,Health & Wellness,Health & Sports,,,Other,highest poverty,Grades PreK-2,223.41,20.0,f,1/19/12,2/28/12
88701,b596c8a042fc1727653225c709c493aa,a316de0038d9db1981e9028d538b5069,3104ef15b742dab13c6c8d6af5297ed9,360008000000.0,40.710754,-73.996806,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades PreK-2,234.56,385.0,t,9/19/13,10/26/13
92372,bd13f640a4d99f27a9609fda9ff276b4,3da803ff729045bbc1886c7229c62345,9162ab512aa4a205a4abeb95ab1287bc,470018000000.0,35.430871999999994,-86.51259300000001,Shelbyville,TN,rural,Bedford Co School District,Bedford,f,f,Mr.,Music,Music & The Arts,Performing Arts,Music & The Arts,Other,high poverty,Grades 6-8,918.93,30.0,f,2/8/13,4/23/13
73338,965b24f6757d8550dba56165eb4d3c41,09c11c3bb2b2c65692294828523cfe8f,2591f7492f44e765a43dbb4104b26009,62211002628.0,37.669453000000004,-121.78348700000001,Livermore,CA,suburban,Livermore Valley Joint Unif SD,Alameda,f,f,Mrs.,Mathematics,Math & Science,Special Needs,Special Needs,Supplies,high poverty,Grades PreK-2,477.78,12.0,f,8/18/13,8/27/13
86305,b095df56aed8696462c1f13046781dd8,b54d29a429d39b6c20be4a83bbbc26d2,e95ee2e23977e2a37e38dcaeeecdf859,62271003118.0,34.191364,-118.429878,Van Nuys,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Literature & Writing,Literacy & Language,Environmental Science,Math & Science,Technology,high poverty,Grades 3-5,380.67,24.0,t,1/20/12,2/20/12
13637,1c317304ccac1b19cc0fc856641f0849,462270f5d5c212162fcab11afa2623cb,9943fdb43ab5f2b53f27e961caf9e90a,360015000000.0,40.631962,-73.923897,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,Ms.,Early Development,Applied Learning,Other,Applied Learning,Technology,highest poverty,Grades PreK-2,257.22,23.0,f,1/15/12,3/11/12
78360,a053f72bb98c86bfd8bb165335f9a8bb,b6162a32365e41398f0f93b704215763,ceaaa831727f5f8447b4b2b9dbb891df,481623000000.0,32.834236,-96.659023,Mesquite,TX,suburban,Dallas Ind School District,Dallas,f,f,Mrs.,Mathematics,Math & Science,,,Other,highest poverty,Grades PreK-2,917.94,44.0,t,8/2/13,11/28/13
82702,a9318ee04feb65c19d73e2d53a7da01b,8d555fd1f6f23a142e6f54fe734b0d1b,9c427d4d01a3a10bfac2ac4ed1a70563,320006000000.0,36.155226,-115.081083,Las Vegas,NV,urban,Clark Co School District,Clark,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 3-5,393.48,50.0,f,3/21/12,7/13/12
37783,4de17b317c249851bd1e8f620d975167,1a8ab06ca16de4b9eb5f9451b879a8d0,bced04bee7ce35c0249635855a3a3bbf,63441005616.0,37.732459000000006,-122.386302,San Francisco,CA,urban,San Francisco Unified Sch Dist,San Francisco,f,f,Mrs.,Literature & Writing,Literacy & Language,ESL,Literacy & Language,Supplies,highest poverty,Grades 3-5,555.31,40.0,f,1/21/13,3/11/13
121894,f9bf3d1c38ccbc10b5d9b2a7b725d588,2fb20dbaabf02466f2bc0192673f37ba,59e231eef52872e71132ad9767a83ffa,490021000000.0,41.031826,-111.919615,Kaysville,UT,suburban,Davis School District,Davis,f,f,Ms.,Mathematics,Math & Science,,,Other,moderate poverty,Grades PreK-2,580.45,23.0,t,10/9/12,1/20/13
88823,b5d0878ab3ed65f787ab94b47e21a3fe,189923198c74e3091871032d07576ac7,e36ab67835d99c8b4167cb3fa276fada,62271003027.0,34.29439,-118.511997,Granada Hills,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,Mrs.,Environmental Science,Math & Science,Health & Life Science,Math & Science,Supplies,high poverty,Grades 6-8,689.14,78.0,t,1/27/12,2/12/12
105113,d717d814a1453a5192cb415ad0f54f8f,7e4db39e9f1691e920aab05aef4639e2,389466c57b1925555a5a2e151108f5fa,230261000000.0,44.095217,-70.236025,Auburn,ME,urban,Auburn School District,Androscoggin,f,f,Ms.,Visual Arts,Music & The Arts,,,Other,high poverty,Grades 9-12,323.12,100.0,f,2/3/13,4/23/13
88770,b5ba32561a8a55b972ef96c710c27ab2,9b2e8d4590cf05a1036b5dcfe9353e27,eb8230cf27f9040d3e6679ed68e1dbf9,61473001798.0,33.862175,-117.945168,Fullerton,CA,urban,Fullerton School District,Orange,f,f,Mr.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 6-8,548.06,50.0,t,9/14/13,11/1/13
19261,27b9b8fabf5f5387037aac9696123a45,d9a63cb94e61d9d329a86d7b98f34e4b,a3defc8346ff8d00d0da6f0a566aa616,370063000000.0,34.787246,-76.892699,Newport,NC,rural,Carteret Co School District,Carteret,f,f,Mrs.,Environmental Science,Math & Science,Applied Sciences,Math & Science,Technology,high poverty,Grades 9-12,1053.72,64.0,t,3/12/13,4/10/13
41356,551ae56de83c253b6b75abd5de6f7cbf,4e932575c490d6439e90d8084e3a5e5b,10120f9b2fb1143510a272d07699efcb,231476000000.0,45.193703,-69.226021,Dovr Foxcroft,ME,rural,Rsu 68/msad 68,Piscataquis,f,f,Mrs.,Health & Life Science,Math & Science,,,Supplies,high poverty,Grades 6-8,783.22,75.0,f,10/28/12,12/11/12
72245,941f8eeaa5fb9a18ace15974230307a3,7836de49950869bf87f69c8a6278ab19,03f1c7dcd00cdd9fd2c4709d8b4e040c,,30.029638000000002,-89.970802,New Orleans,LA,,New Orleans Recovery School District,Orleans,t,f,Mr.,Applied Sciences,Math & Science,,,Technology,low poverty,Grades 9-12,883.56,94.0,f,3/18/13,4/17/13
112402,e5da3d64b0bba8d5192c4d2ed383a324,73be3164a7f141f7e7211f14f4205b82,ac2971588d4ed09617a286240c2dd4fb,341269000000.0,40.912601,-74.157967,Paterson,NJ,suburban,Paterson Public School Dist,Passaic,f,f,Mr.,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,Technology,highest poverty,Grades PreK-2,542.76,500.0,t,1/28/12,3/17/12
111585,e4167a6270014f6b9a084725f7188a7b,a7ea6b14d3e8fa3ef5baeb81a12f0d5a,7be2072f4ce925b5e870789bfff88d6b,120039000000.0,25.742694,-80.435971,Miami,FL,suburban,Miami-dade Co Public Sch Dist,Miami-Dade,t,f,Ms.,Mathematics,Math & Science,Environmental Science,Math & Science,Supplies,high poverty,Grades 3-5,798.14,14.0,t,10/19/13,1/30/14
61907,7f3e619fa07cc25b115a2f557c7fc5e7,e905a0755dbba799334f08b50df69e14,9b94f1f8121d53d247872fa46d351322,63417010049.0,34.128608,-117.26553700000001,Sn Bernrdno,CA,urban,San Bernardino City Unified SD,San Bernardino,f,f,Mr.,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 9-12,486.53,200.0,t,11/11/13,12/24/13
3345,07185df235f2de743672c9ad943ad189,226be2536b916f58d112cfb3feba5033,fb43a98faf7fe5ab3d51e88796d59d55,361683000000.0,40.616978,-73.74894300000001,Inwood,NY,suburban,Lawrence Union Free Sch Dist,Nassau,f,f,Mrs.,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Supplies,high poverty,Grades PreK-2,160.65,20.0,f,12/9/13,1/2/14
84274,ac556da5ef2fe670e185170d89948de8,6d6ec723af3f1684adc30fb106735c78,a5553299bf416080987d71cdeafe894d,174125000000.0,42.372707,-87.850875,Waukegan,IL,suburban,Waukegan Cmty Unit SD 60,Lake,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 6-8,387.94,90.0,f,5/23/13,6/15/13
81097,a5e3a53f44b2cd48227bf45ce35e502d,9f518b6c4d1b9f69782221adde3406af,e3ffdc3c6c4872b696166edfe9ef6491,481674000000.0,33.189787,-97.127418,Denton,TX,urban,Denton Ind School District,Denton,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Technology,high poverty,Grades 6-8,235.88,105.0,t,11/7/13,11/28/13
104724,d659a6864ae6904493346f1a275071fc,a4deb737d092dd1bc0e41bd43423fa8e,59850cb1cab1a957f7d3fb6ef4830d49,320006000000.0,36.237429,-115.189573,N Las Vegas,NV,suburban,Clark Co School District,Clark,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,846.96,25.0,f,8/23/13,10/9/13
35641,496dd0ea3a1e725006d0f86964955b26,74e54dd9e7bf276b8a12a0a0fece10d9,0ce94ca7bcd2f75609df64c928b148f7,320006000000.0,35.147021,-114.62555800000001,Laughlin,NV,rural,Clark Co School District,Clark,f,f,Mrs.,Special Needs,Special Needs,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,563.99,11.0,t,12/30/12,1/28/13
36820,4bceea81751cd265453c7528d9c3fda0,c9a1c476087bada9ac169a0139a69095,35e16fbb1f209e42bdf31735fabd9562,,34.221744,-118.46129499999999,North Hills,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Character Education,Applied Learning,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,570.09,48.0,t,2/9/13,5/23/13
81633,a6faa0933b3f156cfba798be3d831411,c8218df472ee096b59de6d4c5219379a,2f0641b1dab69a2e5b52ebc73c0d2776,220165000000.0,30.277748,-89.71853399999999,Slidell,LA,suburban,St Tammany Parish Sch District,St Tammany,f,f,Mrs.,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Technology,moderate poverty,Grades PreK-2,653.75,20.0,f,9/13/13,11/23/13
19818,28e419dec9476d910e4985b06693030d,29eeb906eef7a1a9f538a8554554b927,5ad87319187730ef8e7a38e6e5a30557,63789006389.0,35.431974,-119.015723,Bakersfield,CA,suburban,Standard School District,Kern,f,f,Mrs.,Special Needs,Special Needs,,,Supplies,highest poverty,Grades 3-5,394.56,5.0,f,10/25/13,2/12/14
83438,aab01c3672bc1a5363389d796f8c5b66,01bce36dbd0d3acea5fa1a3b217bde09,ee67d9304315c0beee34ff21f9c3ae6d,,42.367311,-71.10105,Cambridge,MA,urban,Massachusetts Dept of Ed,Middlesex,t,f,Ms.,Applied Sciences,Math & Science,,,Books,highest poverty,Grades 6-8,1009.95,95.0,f,8/7/13,9/12/13
